                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5215,                 1.6656,                 2.0011,                 0.9113,                0.45714,                0.64237,                0.36378,                 1.5035,                 1.6967,                 2.2102,               0.000845,               0.000845,               0.000845
                     37,                 1.5056,                 1.6926,                 2.0133,                0.69947,                0.65714,                0.69779,                0.44207,                 1.3483,                 1.5195,                 1.9919,               0.000812,               0.000812,               0.000812
                     38,                 1.4875,                 1.6499,                 1.9894,                0.65412,                0.68571,                0.67796,                0.43883,                 1.2809,                 1.5038,                 1.9429,               0.000779,               0.000779,               0.000779
                     39,                 1.5062,                  1.671,                 2.0055,                0.79262,                0.65526,                 0.6875,                0.41267,                 1.3998,                 1.5772,                 2.0461,               0.000746,               0.000746,               0.000746
                     40,                 1.4738,                 1.6303,                 1.9816,                0.78769,                0.71429,                0.75308,                0.45719,                 1.3905,                 1.5433,                 2.1004,               0.000713,               0.000713,               0.000713
                     41,                 1.4668,                 1.6121,                 1.9647,                0.57169,                0.68645,                0.65428,                0.39266,                 1.3337,                 1.7131,                 2.0148,                0.00068,                0.00068,                0.00068
                     42,                 1.4377,                 1.6191,                 1.9397,                0.74032,                0.62857,                0.72738,                0.44789,                 1.3597,                 1.4564,                 2.0315,               0.000647,               0.000647,               0.000647
                     43,                 1.4728,                  1.654,                 1.9867,                0.81881,                    0.6,                0.74786,                0.49445,                 1.2628,                 1.5243,                 1.9186,               0.000614,               0.000614,               0.000614
                     44,                 1.4294,                 1.5528,                 1.9162,                0.87079,                0.62857,                0.72829,                0.46572,                 1.2757,                 1.5203,                  1.985,               0.000581,               0.000581,               0.000581
                     45,                 1.4103,                 1.5874,                 1.9123,                0.60877,                0.74286,                0.71633,                0.47556,                 1.2842,                 1.4664,                 1.9464,               0.000548,               0.000548,               0.000548
                     46,                 1.3891,                 1.5407,                 1.9088,                0.95506,                0.65714,                0.75453,                0.48315,                 1.2715,                 1.4047,                 1.9971,               0.000515,               0.000515,               0.000515
                     47,                 1.4249,                 1.5434,                 1.9089,                0.77948,                0.65714,                0.74478,                0.51796,                 1.2038,                 1.4188,                 1.8864,               0.000482,               0.000482,               0.000482
                     48,                 1.3882,                 1.5154,                 1.9167,                0.92298,                 0.6848,                0.78494,                0.53956,                 1.1976,                 1.3174,                 1.8877,               0.000449,               0.000449,               0.000449
                     49,                 1.3882,                 1.5195,                 1.9065,                0.82697,                0.68284,                0.75385,                0.51664,                 1.1661,                 1.3739,                 1.8325,               0.000416,               0.000416,               0.000416
                     50,                 1.3804,                 1.5127,                 1.8801,                0.92272,                0.57143,                0.71078,                0.48371,                 1.2232,                 1.4931,                 1.9072,               0.000383,               0.000383,               0.000383
                     51,                 1.3144,                 1.6202,                  1.862,                0.77816,                0.70177,                0.77172,                0.53532,                 1.1897,                  1.341,                 1.9061,                0.00035,                0.00035,                0.00035
                     52,                 1.3141,                 1.4979,                 1.8923,                0.81992,                0.68571,                0.76245,                0.52399,                 1.2082,                 1.3864,                 1.8898,               0.000317,               0.000317,               0.000317
                     53,                 1.2936,                 1.4229,                 1.8681,                0.82071,                0.62857,                0.73552,                0.51454,                 1.1406,                 1.4676,                 1.8347,               0.000284,               0.000284,               0.000284
                     54,                 1.2256,                 1.3598,                 1.8135,                0.85501,                0.62857,                 0.7709,                0.51506,                 1.1573,                 1.3894,                 1.8563,               0.000251,               0.000251,               0.000251
                     55,                 1.2162,                 1.3727,                 1.8209,                0.78773,                0.74224,                0.78256,                0.53032,                 1.1449,                 1.3196,                 1.8401,               0.000218,               0.000218,               0.000218
                     56,                 1.2425,                 1.3869,                 1.8233,                0.88237,                0.68571,                0.78111,                0.55644,                 1.1492,                 1.3318,                   1.82,               0.000185,               0.000185,               0.000185
                     57,                 1.2343,                 1.3461,                 1.8242,                0.67871,                0.72443,                0.74631,                0.49905,                 1.1939,                  1.497,                 1.9101,               0.000152,               0.000152,               0.000152
                     58,                 1.2353,                 1.3168,                 1.7966,                 0.8486,                0.71429,                0.78668,                0.54867,                 1.1681,                 1.2636,                 1.8452,               0.000119,               0.000119,               0.000119
                     59,                 1.2197,                  1.279,                 1.8131,                0.80449,                0.77143,                0.79504,                0.55595,                 1.1466,                 1.3149,                 1.8465,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                 1.1909,                  1.279,                 1.7624,                0.84866,                0.74286,                 0.7954,                0.57162,                 1.1119,                 1.3009,                 1.8162,                5.3e-05,                5.3e-05,                5.3e-05
